                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 0.5075,                0.47154,                 1.1168,                 0.9056,                      1,                0.93281,                0.80387,                0.66362,                0.48483,                 1.4616,               0.000176,               0.000176,               0.000176
                    139,                0.52071,                0.51544,                 1.1373,                0.90007,                      1,                0.93281,                0.80423,                 0.7074,                0.46811,                 1.5364,             0.00017207,             0.00017207,             0.00017207
                    140,                 0.5281,                0.52788,                 1.1462,                0.89438,                      1,                0.93281,                0.79179,                0.72082,                0.47845,                 1.5665,             0.00016815,             0.00016815,             0.00016815
                    141,                0.46743,                0.47245,                 1.1143,                0.88015,                      1,                0.93281,                0.79775,                0.69538,                0.47924,                 1.5294,             0.00016422,             0.00016422,             0.00016422
                    142,                0.48964,                0.46952,                 1.1175,                 0.8685,                      1,                0.93281,                0.79106,                0.67843,                0.47744,                 1.5108,             0.00016029,             0.00016029,             0.00016029
                    143,                0.51897,                 0.5236,                 1.1584,                0.85215,                      1,                0.93281,                 0.7966,                0.65843,                0.48032,                 1.4962,             0.00015637,             0.00015637,             0.00015637
                    144,                0.49005,                0.45206,                 1.0953,                0.84843,                      1,                0.93281,                0.80282,                0.66121,                 0.4783,                 1.4947,             0.00015244,             0.00015244,             0.00015244
                    145,                0.47855,                0.45075,                  1.077,                0.86227,                      1,                0.93281,                0.80216,                0.68895,                0.48752,                 1.5251,             0.00014851,             0.00014851,             0.00014851
                    146,                0.49994,                0.48678,                 1.1202,                 0.8653,                      1,                0.93281,                0.80084,                0.69451,                0.48967,                 1.5184,             0.00014458,             0.00014458,             0.00014458
                    147,                0.49015,                0.51074,                 1.1128,                0.86966,                      1,                0.93281,                0.78444,                0.70321,                0.50884,                 1.5191,             0.00014066,             0.00014066,             0.00014066
                    148,                0.51183,                0.49004,                 1.1145,                0.87398,                      1,                0.93281,                0.78444,                0.71237,                0.51369,                 1.5344,             0.00013673,             0.00013673,             0.00013673
                    149,                0.48779,                0.46801,                 1.1168,                0.87395,                      1,                0.93281,                0.78827,                0.68714,                0.50368,                 1.5261,              0.0001328,              0.0001328,              0.0001328
                    150,                0.49874,                 0.4958,                 1.0911,                0.87613,                      1,                0.93281,                 0.8007,                 0.6834,                0.50726,                 1.5374,             0.00012888,             0.00012888,             0.00012888
